,Name,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,precio_medio,MinPrice_USD,MaxPrice_USD,Precio_medio_USD,Categoria_minimo,Categoria_maximo,Categoria_promedio,Nacion,Cuisine_2
4621,I Tri Siochètt,Parma,25.0,39.0,EUR,['Traditional Cuisine'],10.2995451,44.7745082,32.0,26.44,41.2464,33.8432,Medium,Medium,Medium,Italy,Traditional Cuisine
4622,Alpenrose,Brixen,35.0,60.0,EUR,"['Regional Cuisine', 'Classic Cuisine']",11.6390082,46.706382,47.5,37.016000000000005,63.456,50.236000000000004,Medium,Medium,Medium,Italy,Regional Cuisine
4623,Trita Pepe,Manoppello Scalo,12.0,35.0,EUR,['Regional Cuisine'],14.054071,42.30439,23.5,12.691200000000002,37.016000000000005,24.853600000000004,Low,Medium,Low,Italy,Regional Cuisine
4624,La Pignata,Ariano Irpino,20.0,50.0,EUR,"['Regional Cuisine', 'Campanian']",15.0947663,41.1569021,35.0,21.152,52.88,37.016000000000005,Low,Medium,Medium,Italy,Regional Cuisine
4625,Trattoria da Paeto,Pianiga,40.0,55.0,EUR,['Regional Cuisine'],12.0355686,45.4693768,47.5,42.304,58.168000000000006,50.236000000000004,High,Medium,Medium,Italy,Regional Cuisine
4626,Il Ciabot,Roletto,30.0,50.0,EUR,['Regional Cuisine'],7.3305602,44.9253944,40.0,31.728,52.88,42.304,Medium,Medium,Medium,Italy,Regional Cuisine
4627,Osteria La Torre,Cherasco,48.0,48.0,EUR,"['Piedmontese', 'Regional Cuisine']",7.8570495,44.6516877,48.0,50.76480000000001,50.76480000000001,50.76480000000001,High,Medium,Medium,Italy,Piedmontese
4628,Locanda Mariella,Calestano,35.0,50.0,EUR,"['Emilian', 'Modern Cuisine']",10.158748,44.586742,42.5,37.016000000000005,52.88,44.94800000000001,Medium,Medium,Medium,Italy,Emilian
4629,Caffè La Crepa,Isola Dovarese,24.0,60.0,EUR,"['Lombardian', 'Regional Cuisine']",10.3123463,45.1760808,42.0,25.382400000000004,63.456,44.419200000000004,Medium,Medium,Medium,Italy,Lombardian
4630,Due Mari,Tiriolo,15.0,30.0,EUR,['Regional Cuisine'],16.5075033,38.9489777,22.5,15.864,31.728,23.796000000000003,Low,Medium,Low,Italy,Regional Cuisine
4631,"Da Flavio e Fabrizio ""Al Teatro""",Mirano,53.0,53.0,EUR,['Seafood'],12.1151308,45.4908586,53.0,56.052800000000005,56.052800000000005,56.052800000000005,High,Medium,High,Italy,Seafood
4632,Osteria Le Panzanelle,Lucarelli,20.0,50.0,EUR,['Tuscan'],11.311626,43.518906,35.0,21.152,52.88,37.016000000000005,Low,Medium,Medium,Italy,Tuscan
4633,L'Oste della Bon'Ora,Grottaferrata,35.0,90.0,EUR,"['Roman', 'Regional Cuisine']",12.682,41.77739,62.5,37.016000000000005,95.18400000000001,66.10000000000001,Medium,High,High,Italy,Roman
4634,Osteria la Fefa,Finale Emilia,50.0,50.0,EUR,['Regional Cuisine'],11.2958166,44.8331758,50.0,52.88,52.88,52.88,High,Medium,Medium,Italy,Regional Cuisine
4635,Al Vecchio Faggio,Cuasso al Monte,38.0,57.0,EUR,['Regional Cuisine'],8.888191,45.91312,47.5,40.1888,60.28320000000001,50.236000000000004,Medium,Medium,Medium,Italy,Regional Cuisine
4636,Aurora,Feltre,55.0,55.0,EUR,"['Modern Cuisine', 'Regional Cuisine']",11.907839,46.015656,55.0,58.168000000000006,58.168000000000006,58.168000000000006,High,Medium,High,Italy,Modern Cuisine
4637,Il Sottomarino,Follonica,50.0,50.0,EUR,['Seafood'],10.7550868,42.9219683,50.0,52.88,52.88,52.88,High,Medium,Medium,Italy,Seafood
4638,Spoon,Teramo,32.0,44.0,EUR,"['Contemporary', 'Regional Cuisine']",13.701862,42.6601179,38.0,33.8432,46.534400000000005,40.1888,Medium,Medium,Medium,Italy,Contemporary
4639,Antica Filanda,Capri Leone,50.0,70.0,EUR,"['Regional Cuisine', 'Sicilian']",14.734261,38.08595,60.0,52.88,74.03200000000001,63.456,High,High,High,Italy,Regional Cuisine
4640,Roma,Montoggio,20.0,60.0,EUR,"['Ligurian', 'Seasonal Cuisine']",9.0436081,44.5139886,40.0,21.152,63.456,42.304,Low,Medium,Medium,Italy,Ligurian
4641,Osteria Bartolini,Cesenatico,38.0,38.0,EUR,['Seafood'],12.396823,44.200314,38.0,40.1888,40.1888,40.1888,Medium,Medium,Medium,Italy,Seafood
4642,Osteria Bartolini,Milano Marittima,38.0,38.0,EUR,"['Seafood', 'Seasonal Cuisine']",12.3569147,44.2683552,38.0,40.1888,40.1888,40.1888,Medium,Medium,Medium,Italy,Seafood
4643,La Taverna di San Giuseppe,Sienna,67.0,67.0,EUR,['Tuscan'],11.3318,43.31526,67.0,70.8592,70.8592,70.8592,High,High,High,Italy,Tuscan
4644,Al Borgo,Belluno,49.0,49.0,EUR,"['Regional Cuisine', 'Classic Cuisine']",12.2116816,46.1250037,49.0,51.8224,51.8224,51.8224,High,Medium,Medium,Italy,Regional Cuisine
4645,La Cuccagna,Crispiano,20.0,50.0,EUR,['Apulian'],17.2287707,40.6040474,35.0,21.152,52.88,37.016000000000005,Low,Medium,Medium,Italy,Apulian
4646,Mingone,Carnello,25.0,48.0,EUR,"['Italian', 'Regional Cuisine']",13.6051717,41.6893365,36.5,26.44,50.76480000000001,38.6024,Medium,Medium,Medium,Italy,Italian
